short_name,material score,age_type,Top depth (cm),Bottom depth (cm),Middle Depth (cm),14C age (BP),14C age error (1s),cal age (BP),cal age error (1s),rejected,instructions
hallet,4,surface,0,0,,,1,-56,1,,Add a worksheet with this format for each age model you want to ChronRate
,,14C,10,11,,190,15,175,140,,Fill in these columns with appropriate data
,,14C,10,11,,120,15,110,130,,Unneeded columns can be left blank
,,14C,81.5,82,,810,20,715,40,,short_name: One or two words to label the chronology
,,14C,135,137,,1465,25,1350,40,,"material score: from 1-5, see text for details"
,,14C,177,178,,1975,15,1920,50,,"age_type: use ""14C"" for radiocarbon ages on specific materials, and ""14C_bulk"" for radiocarbon ages on bulk sediments. Label other age types as desired."
,,14C,177,178,,1990,20,1940,50,,"depths - enter either top and bottom depth, or mid-point depth"
,,14C,236,236.5,,2480,15,2585,120,,14C age: enter uncalibrated radiocarbon ages
,,14C,299,301,,3395,25,3645,60,,14C age error: enter corresponding 1-sigma uncertainties
,,14C,329,331,,3485,45,3760,110,,"cal age: enter ages for non-radiocarbon dates, or optionally the calibrated age"
,,14C,363,365,,4360,30,4920,90,,cal age error:enter the 1-sigma uncertainty for calibrated and non 14C ages
,,14C,435,440,,6875,15,7695,40,,"rejected: include and mark (e.g., with an ""x"") which ages were rejected"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
